  5.682  0.493                                                                 
 29.630  0.528                                                                 
 31.664  0.496                                                                 
 33.651  0.527                                                            
 36.671  0.533                                                           
 51.596  0.481                                                                 
 52.583  0.550                                                                
 56.511  0.503                                                              
 69.518  0.522                                                        
 77.499  0.506                                             
 89.477  0.519                                                             
 90.458  0.514                                                            
 91.503  0.495                                                              
 93.468  0.525                                                         
 94.464  0.506                                                                
 95.443  0.532                                                                 
 96.461  0.517                                                                  
 97.479  0.510                                                                
 98.442  0.524                                                                 
100.469  0.532                                                               
