 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 9.47712 0.6135179996 2.3300518990    0.613 -1.096  3.5989  4.669    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.95e-15      0.00 7.176e-01 2.675e-01 2.671e-03 7.208e-04 6.538e-03 -1.000 1.486e-02 7.509 7.925 8.808 7.001
0.0152 0.01508 9.47712 0.6499999762 2.3520355225    0.650 -0.977  3.6189  4.655    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.73e-15      0.00 7.184e-01 2.668e-01 2.665e-03 7.191e-04 6.523e-03 -1.000 1.485e-02 7.212 7.531 8.325 6.660
0.0152 0.01508 9.47712 0.6576489806 2.3562903404    0.658 -0.952  3.6234  4.653    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.16e-15      0.00 7.185e-01 2.667e-01 2.664e-03 7.188e-04 6.520e-03 -1.000 1.483e-02 7.149 7.447 8.221 6.588
0.0152 0.01508 9.47712 0.7000000477 2.3779268265    0.700 -0.818  3.6477  4.644    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-14      0.00 7.193e-01 2.659e-01 2.657e-03 7.171e-04 6.505e-03 -1.000 1.475e-02 6.816 6.995 7.661 6.208
0.0152 0.01508 9.47712 0.7278609276 2.3905923367    0.728 -0.733  3.6639  4.640    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-14      0.00 7.199e-01 2.654e-01 2.632e-03 7.152e-04 6.494e-03 -1.000 1.472e-02 6.601 6.707 7.307 5.966
0.0152 0.01508 9.47712 0.7500000000 2.3998889923    0.750 -0.667  3.6764  4.637    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-14      0.00 7.203e-01 2.649e-01 2.614e-03 7.140e-04 6.487e-03 -1.000 1.476e-02 6.436 6.492 7.048 5.786
0.0152 0.01508 9.47712 0.7919635177 2.4158811569    0.792 -0.551  3.6942  4.616    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-14      0.00 7.216e-01 2.637e-01 2.604e-03 7.112e-04 6.462e-03 -1.000 1.469e-02 6.147 6.144 6.644 5.484
0.0152 0.01508 9.47712 0.8000000119 2.4187245369    0.800 -0.529  3.6976  4.612    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-14      0.00 7.218e-01 2.635e-01 2.602e-03 7.107e-04 6.458e-03 -1.000 1.467e-02 6.092 6.080 6.571 5.428
0.0152 0.01508 9.47712 0.8086178303 2.4217014313    0.808 -0.506  3.7011  4.608    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-14      0.00 7.221e-01 2.632e-01 2.599e-03 7.100e-04 6.452e-03 -1.000 1.465e-02 6.034 6.012 6.493 5.369
0.0152 0.01508 9.47712 0.8500000238 2.4350347519    0.850 -0.397  3.7173  4.585    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.78e-14      0.00 7.235e-01 2.619e-01 2.588e-03 7.070e-04 6.424e-03 -1.000 1.459e-02 5.761 5.701 6.139 5.096
0.0152 0.01508 9.47712 0.8844463825 2.4450459480    0.884 -0.308  3.7298  4.564    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.43e-14      0.00 7.250e-01 2.605e-01 2.576e-03 7.037e-04 6.395e-03 -1.000 1.452e-02 5.541 5.457 5.866 4.879
0.0152 0.01508 9.47712 0.9000000358 2.4492788315    0.899 -0.269  3.7352  4.554    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.76e-14      0.00 7.257e-01 2.599e-01 2.570e-03 7.022e-04 6.381e-03 -1.000 1.448e-02 5.443 5.350 5.747 4.784
0.0152 0.01508 9.47712 0.9220139384 2.4549896717    0.921 -0.214  3.7424  4.538    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.29e-14      0.00 7.269e-01 2.587e-01 2.560e-03 6.995e-04 6.357e-03 -1.000 1.443e-02 5.305 5.202 5.581 4.653
0.0152 0.01508 9.47712 0.9500000477 2.4618122578    0.949 -0.145  3.7512  4.517    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.08e-14      0.00 7.284e-01 2.572e-01 2.547e-03 6.960e-04 6.325e-03 -1.000 1.441e-02 5.133 5.020 5.379 4.493
0.0152 0.01508 9.47712 0.9504350424 2.4619147778    0.950 -0.144  3.7513  4.517    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.09e-14      0.00 7.285e-01 2.571e-01 2.547e-03 6.959e-04 6.325e-03 -1.000 1.441e-02 5.130 5.018 5.376 4.490
0.0152 0.01508 9.47712 0.9774947762 2.4680795670    0.977 -0.078  3.7591  4.494    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.01e-14      0.00 7.305e-01 2.552e-01 2.530e-03 6.914e-04 6.284e-03 -1.000 1.431e-02 4.965 4.846 5.187 4.336
0.0152 0.01508 9.47712 1.0000000000 2.4729156494    1.000 -0.023  3.7653  4.475    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.89e-14      0.00 7.324e-01 2.534e-01 2.515e-03 6.874e-04 6.248e-03 -1.000 1.423e-02 4.829 4.706 5.033 4.211
0.0152 0.01508 9.47712 1.0034502745 2.4736349583    1.003 -0.015  3.7662  4.471    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -7e-14      0.00 7.327e-01 2.531e-01 2.512e-03 6.866e-04 6.241e-03 -1.000 1.421e-02 4.808 4.685 5.010 4.192
0.0152 0.01508 9.47712 1.0288093090 2.4787526131    1.028  0.046  3.7725  4.446    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.88e-14      0.00 7.356e-01 2.503e-01 2.488e-03 6.802e-04 6.184e-03 -1.000 1.409e-02 4.655 4.529 4.840 4.052
0.0152 0.01508 9.47712 1.0499999523 2.4828116894    1.049  0.096  3.7775  4.425    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -8.71e-14      0.00 7.382e-01 2.478e-01 2.467e-03 6.744e-04 6.132e-03 -1.000 1.399e-02 4.529 4.401 4.700 3.937
