 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 9.60206 0.0900000036 1.0816895962    0.090 -3.424  3.3622  5.217    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-17      0.00 7.087e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.330 15.384 18.311 13.893
0.0152 0.01508 9.60206 0.1000000015 1.1711064577    0.100 -3.242  3.3881  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-17      0.00 7.086e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.874 14.926 17.840 13.436
0.0152 0.01508 9.60206 0.1194323823 1.3155629635    0.119 -2.984  3.4220  5.139    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-16      0.00 7.082e-01 2.765e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.230 14.216 17.022 12.742
0.0152 0.01508 9.60206 0.1200000122 1.3193155527    0.120 -2.977  3.4229  5.138    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-16      0.00 7.082e-01 2.765e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.213 14.185 16.973 12.715
0.0152 0.01508 9.60206 0.1400000006 1.4384527206    0.140 -2.794  3.4431  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-16      0.00 7.080e-01 2.768e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.754 13.450 15.864 12.046
0.0152 0.01508 9.60206 0.1593211889 1.5342068672    0.159 -2.657  3.4563  5.074    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.01e-16      0.00 7.077e-01 2.771e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.413 12.941 15.128 11.580
0.0152 0.01508 9.60206 0.1599999964 1.5372931957    0.160 -2.653  3.4567  5.073    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-16      0.00 7.077e-01 2.771e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.401 12.924 15.104 11.565
0.0152 0.01508 9.60206 0.2000000030 1.6938791275    0.200 -2.436  3.4754  5.029    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-16      0.00 7.072e-01 2.776e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.861 12.166 14.053 10.871
0.0152 0.01508 9.60206 0.2500000000 1.8403258324    0.250 -2.231  3.4918  4.986    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.74e-16      0.00 7.067e-01 2.781e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.348 11.476 13.131 10.239
0.0152 0.01508 9.60206 0.3000000119 1.9529139996    0.300 -2.071  3.5027  4.949    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.46e-16      0.00 7.064e-01 2.783e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.948 10.979 12.516 9.777
