 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 9.30103 0.0900000036 1.0816895962    0.090 -3.422  3.3624  5.216    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-17      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.326 15.380 18.307 13.888
0.0152 0.01508 9.30103 0.1000000015 1.1711064577    0.100 -3.242  3.3880  5.184    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-17      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.875 14.927 17.841 13.437
0.0152 0.01508 9.30103 0.1002330631 1.1730502844    0.100 -3.238  3.3885  5.183    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.88e-17      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.866 14.919 17.832 13.429
0.0152 0.01508 9.30103 0.1200000122 1.3193155527    0.120 -2.978  3.4227  5.138    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-16      0.00 7.087e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.214 14.188 16.979 12.718
0.0152 0.01508 9.30103 0.1303722411 1.3840715885    0.130 -2.879  3.4336  5.118    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-16      0.00 7.087e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.967 13.787 16.364 12.353
0.0152 0.01508 9.30103 0.1400000006 1.4384527206    0.140 -2.794  3.4430  5.102    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-16      0.00 7.086e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.755 13.453 15.869 12.048
0.0152 0.01508 9.30103 0.1599999964 1.5372931957    0.160 -2.653  3.4565  5.073    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-16      0.00 7.085e-01 2.763e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.403 12.927 15.109 11.568
0.0152 0.01508 9.30103 0.1858222783 1.6434369087    0.186 -2.509  3.4691  5.044    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-16      0.00 7.083e-01 2.764e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.042 12.417 14.398 11.100
0.0152 0.01508 9.30103 0.2000000030 1.6938791275    0.200 -2.438  3.4753  5.030    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.14e-16      0.00 7.082e-01 2.765e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.864 12.171 14.060 10.875
0.0152 0.01508 9.30103 0.2500000000 1.8403258324    0.250 -2.235  3.4917  4.990    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.69e-16      0.00 7.080e-01 2.768e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.357 11.486 13.144 10.249
0.0152 0.01508 9.30103 0.3358241618 2.0195524693    0.336 -1.960  3.5089  4.912    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.32e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.670 10.650 12.124 9.468
0.0152 0.01508 9.30103 0.3462212682 2.0371804237    0.346 -1.931  3.5109  4.904    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.83e-16      0.00 7.091e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.598 10.562 12.016 9.385
